No.,Bulan,Nilai Ekspor (US $),Berat Ekspor (KG),Nilai Impor (US $),Berat Impor (KG)
1,Januari,"13244876797,53","43443195035,04","12612648838,00","11995411291,00"
2,Februari,"12172802862,67","39768342676,62","11510111399,00","12134877571,00"
3,Maret,"13634041965,14","48209231343,05","12608691718,00","12815242585,00"
4,April,"13104596804,38","44113167148,17","12626278785,00","13205353501,00"
5,Mei,"12754659043,69","41543644059,26","11613585485,00","11452923855,00"
6,Juni,"13514101879,06","40886554950,92","12978091752,00","12789548820,00"
7,Juli,"11465779764,41","40908711754,63","10081863504,00","9777959395,00"
8,Agustus,"12726037506,73","41703962147,89","12399248090,00","12392071524,00"
9,September,"12588359370,70","41130727933,85","11558601330,00","12517106390,00"
10,Oktober,"12121740572,30","43492324675,64","11108916259,00","11725231343,00"
11,November,"11122182554,30","41572222679,35","11519468515,00","12396999154,00"
12,Desember,"11917112381,72","42889680221,37","12077298548,00","13890623811,00"
,,,,,
