Tahun,Nilai Ekspor (US $),Berat Ekspor (KG),Nilai Impor (US $),Berat Impor (KG)
1/1/2014,14472289332,49154384703,14916227693,11590996964
2/1/2014,14634090390,43416241019,13790661990,10640029636
3/1/2014,15192634701,49294958689,14523719412,11439923450
4/1/2014,14292472554,45541731344,16254976317,13005419405
5/1/2014,14823602661,47417633575,14770336777,12197088101
6/1/2014,15409451765,44989016798,15697742441,12811352690
7/1/2014,14124129298,43624537982,14081710235,11541376167
8/1/2014,14481642319,43484947226,14793236965,11676185855
9/1/2014,15275846089,46043270707,15546096309,13158825424
10/1/2014,15292759010,43705129574,15327994527,13184342220
11/1/2014,13544729209,46182204245,14041608394,12258277415
12/1/2014,14436339660,46611395610,14434652028,14230519275
1/1/2015,13244876798,43443195035,12612648838,11995411291
2/1/2015,12172802863,39768342677,11510111399,12134877571
3/1/2015,13634041965,48209231343,12608691718,12815242585
4/1/2015,13104596804,44113167148,12626278785,13205353501
5/1/2015,12754659044,41543644059,11613585485,11452923855
6/1/2015,13514101879,40886554951,12978091752,12789548820
7/1/2015,11465779764,40908711755,10081863504,9777959395
8/1/2015,12726037507,41703962148,12399248090,12392071524
9/1/2015,12588359371,41130727934,11558601330,12517106390
10/1/2015,12121740572,43492324676,11108916259,11725231343
11/1/2015,11122182554,41572222679,11519468515,12396999154
12/1/2015,11917112382,42889680221,12077298548,13890623811
1/1/2016,10581883838,39593480160,10466995371,11170356250
2/1/2016,11316734189,38699176126,10175631438,12777162927
3/1/2016,11812127478,43029049633,11301709941,14280888506
4/1/2016,11689745851,39558381869,10813624836,12028222569
5/1/2016,11517409126,40622406241,11140679613,13132879687
6/1/2016,13206122765,44766894585,12095220496,13501715838
7/1/2016,9649503976,39032046989,9017159102,10138881648
8/1/2016,12753921321,45800576792,12385153588,14001735399
9/1/2016,12579750250,44146271671,11297511237,12809168012
10/1/2016,12743736884,47378384672,11507180543,12391159183
11/1/2016,13502920383,46606206088,12669434720,12804703935
12/1/2016,13832355186,45551700748,12782515616,12988497126
1/1/2017,13397676588,43565989974,11973765825,11677887405
2/1/2017,12615980315,37467812722,11359410570,12640301805
3/1/2017,14718477687,47776913742,13283186576,13474016869
4/1/2017,13269689618,44248565281,11950612898,12432054822
5/1/2017,14333859524,44049700227,13772553263,14996662995
6/1/2017,11661376381,39899123547,9991567566,11067266662
7/1/2017,13611062499,45104086462,13889809439,13474009387
8/1/2017,15187990997,47603859327,13509196595,14290326822
9/1/2017,14580216112,48289451396,12788291967,13017265351
10/1/2017,15252563526,50820828192,14249179382,14703970178
11/1/2017,15334735601,47905955325,15113523078,14557794980
12/1/2017,14864547090,49114346862,15104466563,14417729365
1/1/2018,14576277326,48207188456,15309429258,13227092240
2/1/2018,14132382056,46035282234,14185493772,13779364997
3/1/2018,15510616703,52078259570,14463601047,12979524178
4/1/2018,14496238057,47386767306,16162289358,14804211163
5/1/2018,16198340826,51577563772,17662888974,16444214204
6/1/2018,12941739832,49522181747,11267885237,10277766719
7/1/2018,16284719992,54441268184,18297145166,15532866751
8/1/2018,15865124056,48619406723,16818139736,15554819747
9/1/2018,14956348234,50393032874,14610057878,12860756790
10/1/2018,15909072846,56706511182,17667618898,15923155505
11/1/2018,14851720862,51141321157,16901814777,15618755159
12/1/2018,14290093210,52798736011,15364986090,14716898033
1/1/2019,14028086397,55153741678,15005191440,13892230800
2/1/2019,12788557132,48714544729,12465073944,12538456210
3/1/2019,14447789013,57526309274,13746621857,13125266829
4/1/2019,13068068333,52365329749,15399185930,14143962559
5/1/2019,14751890718,57680016608,14606659275,14766069634
6/1/2019,11763353137,46497604257,11495388062,10254928550
7/1/2019,15238418109,56408079594,15518475622,13609908017
8/1/2019,14261962734,52385275556,14169350761,12679655746
9/1/2019,14080108446,54588169198,14263448876,13506445659
10/1/2019,14881456854,61412977962,14759081430,13605297569
11/1/2019,13944486957,56022187370,15340475284,16222862032
12/1/2019,14428818305,55720138557,14506784516,14283648453
1/1/2020,13636412654,50900144920,14268720284,12141682743
2/1/2020,14042089243,49671209460,11548100132,13059584031
3/1/2020,14031292078,54068776030,13352176374,14432183255
4/1/2020,12159824545,45172672644,12535233221,15051046827
5/1/2020,10452625425,42236217598,8438627383,10084426066
6/1/2020,12006813613,46387784703,10760317981,11505323617
7/1/2020,13689902559,46069923525,10464299676,11323464029
8/1/2020,13055281121,43565183268,10742407847,11839690849
9/1/2020,13956176572,43933093550,11570104770,12883228618
10/1/2020,14363443251,47117842846,10786016684,12091546513
11/1/2020,15258422043,53282636841,12664414194,12137149554
12/1/2020,16539555060,57272738272,14438376084,15330669376
1/1/2021,15300168402,52594533333,13329901020,13078332805
2/1/2021,15255398398,47636989301,13264974634,12378562385
3/1/2021,18398414762,50524633459,16787511490,17281282068
4/1/2021,18474131707,49061313899,16204338764,15359269116
5/1/2021,16908015508,51750618405,14234815276,14618029219
6/1/2021,18547744864,52712714180,17218457483,15690996581
7/1/2021,19369596671,55266605966,15263122650,13883775439
8/1/2021,21443151841,54495451464,16678886850,14120443591
9/1/2021,20618788618,50900622540,16234148586,14418830339
10/1/2021,22090984014,56525781313,16293616090,14353729490
11/1/2021,22845364125,50280024693,19328188076,15208908997
12/1/2021,22357720668,49918547182,21352018156,17367172373
1/1/2022,19173699043,27176531456,18211103488,12525388397
2/1/2022,20472894279,44630366469,16638511813,13643754535
3/1/2022,26497477726,61009058931,21962417654,17890856389
4/1/2022,27322284676,55744554534,19757449353,15311997567
5/1/2022,21509825822,51078811698,18609287096,13695896141
6/1/2022,26150115172,55379269970,21003853585,15849221401
7/1/2022,25563196494,58873597981,21345030399,15106273518
8/1/2022,27862094371,59542590396,22150549517,16324740238
9/1/2022,24777175554,60995692132,19808344348,15373240605
10/1/2022,24728444384,60949225784,19135352916,15085178245
11/1/2022,24094037088,57159651753,18962094932,14983782996
12/1/2022,23827858044,54788095310,19863061497,17445166404
1/1/2023,22323843854,51412618343,18442933629,15297835516
2/1/2023,21321275495,53154842441,15919168182,13357927312
3/1/2023,23415993726,63960402421,20588052914,17338475865
